,name,script,year
304,contact,http://www.scifiscripts.com/scripts/contact.txt,1997
305,cool hand luke,http://www.aellea.com/script/cool_hand_luke.html,1967
306,copycat,http://www.dailyscript.com/scripts/copycat.html,1995
307,crash,http://www.dailyscript.com/scripts/crash+(1996).txt,2004
308,crazy love,http://www.dailyscript.com/scripts/crazy_love.html,2007
309,crime spree,http://www.dailyscript.com/scripts/crimespree.html,2003
310,"crouching tiger, hidden dragon",http://www.awesomefilm.com/script/crouchingtiger.txt,2003
311,the crow,http://www.horrorlair.com/scripts/crow.txt,1994
312,cruel intentions,http://www.dailyscript.com/scripts/cruel-intentions.html,1999
313,the curse of the cat people,http://www.dailyscript.com/scripts/cursecat.htm,1944
314,the curse,http://www.horrorlair.com/scripts/cursethe.txt,1987
315,dark city,http://www.dailyscript.com/scripts/dark-city_early-rewrite.html,1998
316,dave,http://www.scifiscripts.com/msol/dave.txt,1993
317,day of the dead,http://www.horrorlair.com/scripts/dayofthedead.txt,1985
318,dead poets society,http://www.dailyscript.com/scripts/dead%20poets%20society.txt,1989
319,deep rising,http://www.horrorlair.com/scripts/deeprising.txt,1998
320,the deer hunter,http://www.dailyscript.com/scripts/deer_hunter.html,1978
321,demolition man,http://www.dailyscript.com/scripts/demolition-man_production.html,1993
322,the devil and daniel webster,http://www.aellea.com/script/devilanddanielwebster.txt,2004
323,die hard,http://www.awesomefilm.com/script/diehard.html,1988
324,dog day afternoon,http://www.awesomefilm.com/script/dog_day_afternoon.txt,1975
325,domino,http://www.dailyscript.com/scripts/domino.html,2005
326,do the right thing,http://www.awesomefilm.com/script/dotherightthing.txt,1989
327,dumb and dumberer: when harry met lloyd,http://web.archive.org/web/20040611014121/www.awesomefilm.com/script/dumbanddumberer.html,2003
328,dune,http://www.scifiscripts.com/scripts/dune.txt,1984
329,ed wood,http://www.dailyscript.com/scripts/ed-wood.html,1994
330,edtv,http://www.dailyscript.com/scripts/edtv.html,1999
331,election,http://www.dailyscript.com/scripts/election.html,1999
332,l.a. confidential,http://www.dailyscript.com/scripts/la%20confidential.txt,1997
333,enemy of the state,http://www.dailyscript.com/scripts/enemyofthestate.html,1998
334,the english patient,http://www.dailyscript.com/scripts/englishpatient.html,1996
335,entrapment,http://www.dailyscript.com/scripts/entrapment_production.html,1999
336,erin brockovich,http://www.dailyscript.com/scripts/erin+brockovich.txt,2000
337,star wars: the empire strikes back,http://www.scifiscripts.com/scripts/esb_final.txt,1982
338,escape from the planet of the apes,http://www.scifiscripts.com/scripts/escape_pota.txt,1971
339,escape from l.a.,http://www.scifiscripts.com/scripts/escapela.txt,1996
340,excalibur,http://www.dailyscript.com/scripts/excalibur.txt,1981
341,the exorcist,http://www.horrorlair.com/scripts/exorcist.html,1973
342,the fabulous baker boys,http://www.dailyscript.com/scripts/fabulous_baker_boys_final.html,1989
343,face/off,http://www.dailyscript.com/scripts/faceoff_production.html,1997
344,the family man,http://www.dailyscript.com/scripts/familyman.html,2000
345,the fantastic four,http://www.dailyscript.com/scripts/fantasticfour.html,1994
346,fantastic voyage,http://www.scifiscripts.com/scripts/fantasticvoyager.txt,1966
347,fargo,http://www.dailyscript.com/scripts/fargo.txt,1996
348,fight club,http://www.scifiscripts.com/scripts/fight_club_shoot.txt,1999
349,final destination 2,http://www.dailyscript.com/scripts/final_destination2.html,2003
350,final destination,http://www.horrorlair.com/scripts/finaldestination.txt,2000
351,rambo: first blood part ii,http://www.dailyscript.com/scripts/rambo_first_blood_2.html,1985
352,the fisher king,http://www.dailyscript.com/scripts/fisher-king_shooting.html,1991
353,five easy pieces,http://www.dailyscript.com/scripts/fiveeasypieces.html,1970
354,five feet high and rising,http://www.dailyscript.com/scripts/fivefeetandrising.html,2000
355,fletch,http://www.dailyscript.com/scripts/fletch.txt,1985
356,the adventures of ford fairlane,http://www.dailyscript.com/scripts/ford-fairlane_early.html,1990
357,the french connection,http://www.dailyscript.com/scripts/frenchconnection.html,1971
358,frequency,http://www.dailyscript.com/scripts/frequency.html,2000
359,friday the 13th part iii,http://www.horrorlair.com/scripts/friday13th3.txt,1982
360,jason lives: friday the 13th part vi,http://www.horrorlair.com/scripts/friday13th6.txt,1986
361,jason goes to hell: the final friday,http://www.horrorlair.com/scripts/friday13thjasongoestohell.txt,1993
362,friday the 13th part viii: jason takes manhattan,http://www.dailyscript.com/scripts/friday_13_8.html,1989
363,game 6,http://www.dailyscript.com/scripts/game_6.html,2005
364,gandhi,http://www.dailyscript.com/scripts/gandhi.txt,1982
365,gattaca,http://www.dailyscript.com/scripts/gattaca_early.html,1997
366,the getaway,http://www.dailyscript.com/scripts/getaway.html,1972
367,get carter,http://www.dailyscript.com/scripts/getcarter.html,2000
368,glengarry glen ross,http://www.dailyscript.com/scripts/glengarry.html,1992
369,the godfather: part ii,http://www.dailyscript.com/scripts/godfather2.html,1974
370,gods and monsters,http://www.dailyscript.com/scripts/gods%20and%20monsters.txt,1998
371,gone in sixty seconds,http://www.dailyscript.com/scripts/gone_in_60_seconds.html,2000
372,goodfellas,http://www.dailyscript.com/scripts/goodfellas.html,1990
373,good will hunting,http://www.moviescriptsandscreenplays.com/benandmatt/goodwillhunting.txt,1997
374,the grapes of wrath,"http://www.dailyscript.com/scripts/grapes%20of%20wrath,%20the.txt",1940
375,grosse pointe blank,http://www.dailyscript.com/scripts/grosse%20pointe%20blank.txt,1997
376,the horse whisperer,http://www.awesomefilm.com/script/h_whispr.txt,1998
377,hackers,http://www.scifiscripts.com/scripts/hackers.txt,1995
378,halloween 4: the return of michael myers,http://www.horrorlair.com/scripts/halloween4.txt,1988
379,halloween,http://www.dailyscript.com/scripts/halloween.txt,1978
380,hannah and her sisters,http://www.dailyscript.com/scripts/hannah%20and%20her%20sisters.txt,1986
381,hannibal,http://www.dailyscript.com/scripts/hannibal%20-%20zaillian.txt,2001
382,happy campers,http://www.dailyscript.com/scripts/happy-campers_early.html,2001
383,heathers,http://www.dailyscript.com/scripts/heathers_shooting.html,1989
384,heavenly creatures,http://www.awesomefilm.com/script/heavenlycreatures.html,1994
385,hellraiser: hellseeker,http://www.horrorlair.com/scripts/hellraiser_hellseeker_orig.html,2002
386,hero,http://www.dailyscript.com/scripts/hero1.html,1992
387,hider in the house,http://www.dailyscript.com/scripts/hider-in-the-house.html,1989
388,highlander iii: the sorcerer,http://www.scifiscripts.com/scripts/highlander3.txt,1994
389,hostage,http://home.online.no/~bhundlan/scripts/hostage.htm,2005
390,hotel rwanda,http://www.dailyscript.com/scripts/hotel_rwanda.html,2004
391,house on haunted hill,http://www.dailyscript.com/scripts/house-on-haunted-hill.html,1999
392,house of the damned,http://www.horrorlair.com/scripts/houseofthedamned.txt,1996
393,hellraiser iii: hell on earth,http://www.cenobite.com/library/hr3-910701.txt,1992
394,hudson hawk,http://www.dailyscript.com/scripts/hudson-hawk_early.html,1991
395,the hudsucker proxy,"http://www.dailyscript.com/scripts/hudsucker%20proxy,%20the.txt",1994
396,i walked with a zombie,http://www.dailyscript.com/scripts/i-walked_with_a_zombie.html,1943
397,the ice storm,http://www.dailyscript.com/scripts/icestorm.html,1997
398,insomnia,http://www.dailyscript.com/scripts/insomnia.html,2002
399,interview with the vampire: the vampire chronicles,http://www.scifiscripts.com/scripts/interview.txt,1994
400,i still know what you did last summer,http://www.horrorlair.com/scripts/iskwydls.txt,1998
401,isle of the dead,http://www.dailyscript.com/scripts/isleofthedead.htm,1945
402,it's a wonderful life,http://www.aellea.com/script/itsawonderfullife.txt,1946
403,jaws 2,http://www.dailyscript.com/scripts/jaws%202.txt,1978
404,jaws 3-d,http://www.horrorlair.com/scripts/jaws3_1st_draft.txt,1983
405,jaws: the revenge,http://www.horrorlair.com/scripts/jaws_the_revenge.txt,1987
406,the jazz singer,http://www.aellea.com/script/jazzsinger.txt,1927
407,jennifer eight,http://www.dailyscript.com/scripts/jennifer-eight-script.html,1992
408,jerry maguire,http://www.awesomefilm.com/script/jerrymaguire.txt,1996
409,jurassic park iii,http://www.dailyscript.com/scripts/jp3.html,2001
410,the lost world: jurassic park,http://www.horrorlair.com/scripts/jurassic2_thw.txt,1997
411,jurassic park,http://www.scifiscripts.com/scripts/jurassicpark_1stdraft.txt,1993
412,freddy vs. jason,http://www.horrorlair.com/scripts/jvsf_bm.txt,2003
413,kafka,http://www.dailyscript.com/scripts/kafka.html,1991
414,king kong,http://www.scifiscripts.com/scripts/kingkong.txt,2005
415,klute,http://www.dailyscript.com/scripts/klute.html,1971
416,kramer vs. kramer,http://www.dailyscript.com/scripts/kramer%20vs%20kramer.txt,1979
417,kundun,http://www.dailyscript.com/scripts/kundun.txt,1997
418,lake placid,http://www.dailyscript.com/scripts/lake-placid.html,1999
419,the silence of the lambs,http://www.horrorlair.com/scripts/lambsfinal.txt,1991
420,last of the mohicans,http://www.dailyscript.com/scripts/last-of-the-mohicans-script.html,1977
421,leviathan,http://www.dailyscript.com/scripts/leviathan_shooting.html,1989
422,"lock, stock and two smoking barrels",http://www.scifiscripts.com/msol/lockstock_screenplay.txt,1998
423,lone star,http://www.dailyscript.com/scripts/lone%20star.txt,1996
424,lord of illusions,http://www.dailyscript.com/scripts/lordofillusions.html,1995
425,lost in translation,http://www.dailyscript.com/scripts/lost-in-translation-script.html,2003
426,lost souls,http://www.horrorlair.com/scripts/lostsouls.txt,2000
427,love & basketball,http://www.dailyscript.com/scripts/love_and_basketball.html,2000
428,magnolia,http://www.dailyscript.com/scripts/magnolia.html,1999
429,the man in the iron mask,http://www.dailyscript.com/scripts/man_in_iron_mask_95.html,1998
430,manhunt,http://www.awesomefilm.com/script/manhunt.html,2003
431,manhunter,http://www.dailyscript.com/scripts/manhunter.html,1986
432,man on the moon,http://www.scifiscripts.com/msol/manonthemoon.txt,1999
433,the matrix,http://www.scifiscripts.com/scripts/matrix_97_draft.txt,1999
434,halloween iii: season of the witch,http://www.dailyscript.com/scripts/meanstreet.html,1982
435,meet joe black,http://www.awesomefilm.com/script/meetjoeblack.txt,1998
436,memento,http://www.dailyscript.com/scripts/memento.html,2000
437,miami vice,http://www.dailyscript.com/scripts/miamivice.html,2006
438,midnight cowboy,http://www.dailyscript.com/scripts/midnight%20cowboy.txt,1969
439,midnight express,http://www.dailyscript.com/scripts/midnightexpress.html,1978
440,mimic,http://www.dailyscript.com/scripts/mimic_production.html,1997
441,misery,http://www.dailyscript.com/scripts/misery.txt,1990
442,mission: impossible ii,http://www.dailyscript.com/scripts/mission-impossible-2_shoot.html,2000
443,mission: impossible,http://www.dailyscript.com/scripts/mission-impossible_shoot.html,1996
444,moonstruck,http://www.dailyscript.com/scripts/moonstruck.txt,1987
445,monty python and the holy grail,http://www.angelfire.com/movies/closedcaptioned/mp-holy.txt,1975
446,mrs brown,http://www.dailyscript.com/scripts/mrs_brown.html,1997
447,arcade,http://www.awesomefilm.com/script/ms_arcad.txt,1993
448,mulholland dr.,http://www.dailyscript.com/scripts/mulholland_drive.html,2001
449,"""murderland""",http://www.awesomefilm.com/script/murderland.html,2009
450,my girl 2,http://www.scifiscripts.com/msol/my_girl_2.html,1994
451,my girl,http://www.scifiscripts.com/msol/my_girl.html,1991
452,my best friend's wedding,http://www.awesomefilm.com/script/mybestfriendswedding.txt,1997
453,nashville,http://www.dailyscript.com/scripts/nashville.html,1975
454,natural born killers,http://www.dailyscript.com/scripts/natural-born-killers_shoot.html,1994
455,nothing but a man,http://www.aellea.com/emruf3/nbam.html,1964
456,the negotiator,http://www.angelfire.com/movies/moviefreak/negotiator.html,1998
457,neuromancer,http://www.scifiscripts.com/scripts/neuromancer.txt,1988
458,never been kissed,http://www.dailyscript.com/scripts/neverbeenkissed.html,1999
459,the nightmare before christmas,http://www.dailyscript.com/scripts/nightmare-b4-xmas_early.html,1993
460,a nightmare on elm street part 2: freddy's revenge,http://www.horrorlair.com/scripts/nightmare_on_elm_street2.txt,1985
461,a nightmare on elm street 3: dream warriors,http://www.horrorlair.com/scripts/nightmare_on_elm_street3.txt,1987
462,notting hill,http://www.awesomefilm.com/script/nothill.txt,1999
463,one flew over the cuckoo's nest,http://www.dailyscript.com/scripts/one%20flew%20over%20the%20cuckoo's%20nest.txt,1975
464,only you,http://www.awesomefilm.com/script/onlyyou.html,1994
465,on the waterfront,http://www.dailyscript.com/scripts/onthewaterfront.html,1954
466,orgy of the dead,http://www.horrorlair.com/horrorworld/edwood/orgyofthedead.html,1965
467,out of sight,http://www.dailyscript.com/scripts/out%20of%20sight.txt,1998
468,pearl harbor,http://www.dailyscript.com/scripts/pearl_harbor_early.html,2001
469,peggy sue got married,http://www.dailyscript.com/scripts/peggysue.html,1986
470,pet sematary ii,http://www.dailyscript.com/scripts/petsemetaryii.html,1992
471,philadelphia,http://www.dailyscript.com/scripts/philadelphia.html,1993
472,pitch black,http://www.dailyscript.com/scripts/pitch-black_shooting.html,2000
473,planet of the apes,http://www.scifiscripts.com/scripts/pota_remake.txt,2001
474,platoon,http://www.dailyscript.com/scripts/platoon.txt,1986
475,playback,http://www.dailyscript.com/scripts/playback.html,1996
476,the ploughman's lunch,http://www.dailyscript.com/scripts/ploughmans_lunch.html,1983
477,point break,http://www.awesomefilm.com/script/pointbreak.html,1991
478,predator,http://www.scifiscripts.com/scripts/predator.txt,1987
479,pretty woman,http://www.awesomefilm.com/script/prettywoman.html,1990
480,the princess bride,"http://www.dailyscript.com/scripts/princess%20bride,%20the.txt",1987
481,the producers,"http://www.dailyscript.com/scripts/producers,%20the.txt",1968
482,psycho,http://www.dailyscript.com/scripts/psycho.txt,1960
483,maniac,http://www.aellea.com/script/qmaniac.htm,1980
484,vampyr,http://www.aellea.com/script/qvampyr.htm,1932
485,mystery of the wax museum,http://www.aellea.com/script/qwax.htm,1933
486,quantum project,http://www.dailyscript.com/scripts/quantumproject.html,2000
487,rambling rose,http://www.dailyscript.com/scripts/ramblingrose.html,1991
488,red white black & blue,http://www.awesomefilm.com/script/redwhiteblackandblue.html,2006
489,star wars: episode vi - return of the jedi,http://www.scifiscripts.com/scripts/revengeofthejedi.txt,1983
490,the rocky horror picture show,http://www.horrorlair.com/scripts/rhps.txt,1975
491,rocky,http://www.dailyscript.com/scripts/rocky.txt,1976
492,who framed roger rabbit,http://www.scifiscripts.com/cartoon/roger-rabbit.htm,1988
493,romeo and juliet,http://www.awesomefilm.com/script/romeo+juliet.txt,1968
494,ronin,http://www.dailyscript.com/scripts/ronin_early.html,1998
495,route 9,http://home.earthlink.net/~bhb1/scripts/rt9/route_9.html,1998
496,rush hour 2,http://www.dailyscript.com/scripts/rush_hour_2.html,2001
497,rush hour,http://www.dailyscript.com/scripts/rushhour.html,1998
498,runaway bride,http://www.awesomefilm.com/script/rwbride.html,1999
499,sleepless in seattle,http://www.awesomefilm.com/script/s_seatl.html,1993
500,salt of the earth,http://www.aellea.com/script/salt.txt,1954
501,the salton sea,http://www.dailyscript.com/scripts/salton_sea.html,2002
502,saving private ryan,http://www.moviescriptsandscreenplays.com/benandmatt/savingprivateryan.txt,1998
503,say anything...,http://www.moviescriptsandscreenplays.com/johncusack/scripts/sayanything.txt,1989
504,schindler's list,http://www.awesomefilm.com/script/schindlerslist.txt,1993
505,scream 2,http://www.horrorlair.com/scripts/scream2.txt,1997
506,scream 3,http://www.horrorlair.com/scripts/scream3_early_draft.txt,2000
507,scream,http://www.dailyscript.com/scripts/scream.txt,1996
508,seven,http://www.horrorlair.com/scripts/se7en.html,1979
509,the searchers,"http://www.dailyscript.com/scripts/searchers,%20the.txt",1956
510,seven days to live,http://www.horrorlair.com/scripts/sevendaystolive_2nd.html,2000
511,shakespeare in love,http://www.dailyscript.com/scripts/shakespeare%20in%20love.txt,1998
512,shallow grave,http://www.horrorlair.com/scripts/shallow.txt,1994
513,shampoo,http://www.dailyscript.com/scripts/shampoo.html,1975
514,the shining,http://www.dailyscript.com/scripts/shining.html,1980
515,silver bullet,http://www.dailyscript.com/scripts/silverbullet.html,1985
516,sister act,http://www.scifiscripts.com/msol/sister_act.txt,1992
517,sleepy hollow,http://www.dailyscript.com/scripts/sleepy-hollow_shooting.html,1999
518,sling blade,http://www.dailyscript.com/scripts/sling%20blade.txt,1996
519,smoke,http://www.awesomefilm.com/script/smoke.txt,1995
520,snow falling on cedars,http://www.dailyscript.com/scripts/snow-falling_shooting.html,1999
521,soldier,http://www.dailyscript.com/scripts/soldier.html,1998
522,some like it hot,http://www.dailyscript.com/scripts/some+like+it+hot.txt,1959
523,the wedding date,http://www.dailyscript.com/scripts/somethingborrowed.html,2005
524,sounder,http://www.aellea.com/script/sounder.txt,1972
525,south park: bigger longer & uncut,http://www.dailyscript.com/scripts/south-park.html,1999
526,spacejacked,http://www.scifiscripts.com/scripts/spacejacked.txt,1997
527,spare me,http://www.dailyscript.com/scripts/spareme.html,1992
528,sphere,http://www.dailyscript.com/scripts/sphere_shooting.html,1998
529,star wars,http://www.scifiscripts.com/scripts/star_wars_3rd.txt,1977
530,starship troopers,http://www.scifiscripts.com/scripts/starship_troopers.txt,1997
531,star trek: the motion picture,http://www.dailyscript.com/scripts/startrek01.html,1979
532,state and main,http://www.dailyscript.com/scripts/state+and+main.txt,2000
533,stepmom,http://www.dailyscript.com/scripts/stepmom.html,1998
534,storytelling,http://www.dailyscript.com/scripts/storytelling.html,2001
535,stranglehold,http://www.horrorlair.com/scripts/strangehold.txt,2007
536,dr. strangelove or: how i learned to stop worrying and love the bomb,http://www.visual-memory.co.uk/amk/doc/0055.html,1964
537,suburbia,http://www.awesomefilm.com/script/suburbia.html,1996
538,sugar & spice,http://www.dailyscript.com/scripts/sugarandspice.html,2001
539,sunset blvd.,http://www.dailyscript.com/scripts/sunset_bld_3_21_49.html,1950
540,supergirl,http://www.scifiscripts.com/scripts/supergirl.txt,1984
541,superman iii,http://www.scifiscripts.com/scripts/superman3_script.txt,1983
542,superman ii,http://www.scifiscripts.com/scripts/supermanii_scriptment_2_76.txt,1980
543,superman iv: the quest for peace,http://www.scifiscripts.com/scripts/superman_iv.txt,1987
544,superman,http://www.scifiscripts.com/scripts/superman_original.txt,1978
545,the sweet hereafter,http://www.dailyscript.com/scripts/sweethereafter.html,1997
546,sweet smell of success,http://www.dailyscript.com/scripts/sweetsmell.html,1957
547,terminator 2: judgment day,http://www.scifiscripts.com/scripts/t2.txt,1991
548,taking sides,http://www.dailyscript.com/scripts/takingsides.html,2001
549,the terminator,http://www.scifiscripts.com/scripts/terminator_1_4th_draft.txt,1984
550,the game,http://www.dailyscript.com/scripts/the-game-early.html,1997
551,the haunting,http://www.dailyscript.com/scripts/the-haunting_production.html,1999
552,the limey,http://www.dailyscript.com/scripts/the-limey.html,1999
553,the man who wasn't there,"http://www.dailyscript.com/scripts/man%20who%20wasn't%20there,%20the.txt",2001
554,the relic,http://www.dailyscript.com/scripts/the-relic_early.html,1997
555,the truman show,http://www.dailyscript.com/scripts/the-truman-show_shooting.html,1998
556,the x files,http://www.dailyscript.com/scripts/the-x-files_production.html,1998
557,the cell,http://www.dailyscript.com/scripts/the_cell.html,2000
558,the third man,http://www.dailyscript.com/scripts/the_third_man.html,1949
559,the beach,http://www.scifiscripts.com/msol/beach/script01_15.htm,2000
560,the believer,http://www.dailyscript.com/scripts/thebeliever.html,2001
561,le grand bleu,http://www.dailyscript.com/scripts/thebigblue.html,1988
562,the hebrew hammer,http://www.dailyscript.com/scripts/thehebrewhammer.html,2003
563,the leopard man,http://www.dailyscript.com/scripts/theleopardman.htm,1943
564,the lost son,http://www.alibi-books.com/thelostson/thelostson.htm,1999
565,the messenger,http://www.awesomefilm.com/script/themessenger.txt,2009
566,the pianist,"http://www.dailyscript.com/scripts/pianist,%20the.txt",2002
567,the piano,http://www.dailyscript.com/scripts/thepianolesson.html,1993
568,the sting,"http://www.dailyscript.com/scripts/sting,%20the.txt",1973
569,the thin man,http://www.geocities.com/kingrr/thin.html,1934
570,three kings,http://www.dailyscript.com/scripts/three-kings_unproduced.html,1999
571,thx 1138,http://www.scifiscripts.com/scripts/thx1138.txt,1971
572,ticker,http://www.dailyscript.com/scripts/ticker.html,2001
573,trouble in paradise,http://www.aellea.com/emruf3/tip.html,1932
574,titanic,http://www.dailyscript.com/scripts/titanic.txt,1997
575,transatlantic merry-go-round,http://www.aellea.com/emruf3/tm.html,1934
576,tombstone,http://www.dailyscript.com/scripts/tomb_stone.html,1993
577,tomorrow never dies,http://www.awesomefilm.com/script/tomorrowneverdies.txt,1997
578,to sleep with anger,http://www.dailyscript.com/scripts/tosleepwithanger.html,1990
579,toy story,http://www.dailyscript.com/scripts/toy_story.html,1995
580,the magic toyshop,http://www.aellea.com/emruf3/toyshop.html,1987
581,traffic,http://www.dailyscript.com/scripts/traffic.txt,2000
582,trainspotting,http://www.awesomefilm.com/script/trainspotting.html,1996
583,star trek v: the final frontier,http://www.scifiscripts.com/scripts/trek5.txt,1989
584,tron,http://www.scifiscripts.com/scripts/tron.txt,1982
585,true lies,http://www.awesomefilm.com/script/truelies.txt,1994
586,true romance,http://www.awesomefilm.com/script/trueromance.html,1993
587,twelve monkeys,http://www.horrorlair.com/scripts/twelvemonkeys.html,1995
588,u-turn,http://www.dailyscript.com/scripts/u-turn_early.html,1973
589,u turn,http://www.dailyscript.com/scripts/u-turn_shooting.html,1997
590,unbreakable,http://www.dailyscript.com/scripts/unbreakable.txt,2000
591,unforgiven,http://www.dailyscript.com/scripts/unforgiven.txt,1992
592,the usual suspects,"http://www.dailyscript.com/scripts/usual%20suspects,%20the.txt",1995
593,verdict,http://www.scifiscripts.com/msol/verdict.txt,1974
594,vertigo,http://www.dailyscript.com/scripts/vertigo.txt,1958
595,very bad things,http://www.dailyscript.com/scripts/very+bad+things.txt,1998
596,viridiana,http://www.aellea.com/script/viridiana.txt,1961
597,virtuosity,http://www.dailyscript.com/scripts/virtuosity.html,1995
598,wag the dog,http://www.dailyscript.com/scripts/wag-the-dog_production.html,1997
599,wall street,http://www.dailyscript.com/scripts/wall_street.html,1987
600,waxwork,http://www.horrorlair.com/scripts/waxwork.txt,1988
601,what lies beneath,http://www.dailyscript.com/scripts/what+lies+beneath.txt,2000
602,what women want,http://www.awesomefilm.com/script/whatwomenwant.html,2000
603,the witching hour,http://www.scifiscripts.com/scripts/whitching_hour.txt,1996
604,white angel,http://www.horrorlair.com/scripts/whiteang.txt,1994
605,who's your daddy?,http://www.cvisual.com/film-techniques/whos-your-daddy-by-maria-veltre-and-jack-sekowski.txt,2003
606,wild things,http://www.dailyscript.com/scripts/wild+things.txt,1998
607,wild wild west,http://www.scifiscripts.com/scripts/wildwest.txt,1999
608,willow,http://www.scifiscripts.com/scripts/willow.txt,1988
609,witness,http://www.dailyscript.com/scripts/witness.txt,1985
610,the wizard of oz,http://www.scifiscripts.com/scripts/wizoz.txt,1939
611,the world is not enough,http://www.awesomefilm.com/script/worldisnotenough.txt,1999
612,watchmen,http://www.scifiscripts.com/scripts/wtchmn.txt,2009
613,xxx,http://www.dailyscript.com/scripts/xxx.txt,2002
614,x-men,http://www.scifiscripts.com/scripts/xmenthing.txt,2000
615,young frankenstein,http://www.horrorlair.com/scripts/young.txt,1974
616,zulu dawn,http://www.aellea.com/script/zuludawn.txt,1979
